組別,分數區間均數,人數,百分比,累計人數,累計百分比
5,342,158,1.15,674,4.9
5,338,169,1.23,843,6.13
5,334,217,1.58,1060,7.71
5,330,192,1.4,1252,9.1
5,326,219,1.59,1471,10.7
5,322,247,1.8,1718,12.49
5,318,250,1.82,1968,14.31
5,314,243,1.77,2211,16.08
5,310,218,1.59,2429,17.66
5,306,248,1.8,2677,19.47
5,302,213,1.55,2890,21.02
5,298,234,1.7,3124,22.72
5,294,223,1.62,3347,24.34
5,290,244,1.77,3591,26.11
5,286,226,1.64,3817,27.76
5,282,200,1.45,4017,29.21
5,278,231,1.68,4248,30.89
5,274,216,1.57,4464,32.46
5,270,210,1.53,4674,33.99
5,266,229,1.67,4903,35.65
5,262,217,1.58,5120,37.23
5,258,220,1.6,5340,38.83
5,254,196,1.43,5536,40.26
5,250,226,1.64,5762,41.9
5,246,217,1.58,5979,43.48
5,242,221,1.61,6200,45.08
5,238,223,1.62,6423,46.71
5,234,222,1.61,6645,48.32
5,230,203,1.48,6848,49.8
5,226,219,1.59,7067,51.39
5,222,222,1.61,7289,53
5,218,221,1.61,7510,54.61
5,214,226,1.64,7736,56.25
5,210,197,1.43,7933,57.69
5,206,213,1.55,8146,59.24
5,202,233,1.69,8379,60.93
5,198,203,1.48,8582,62.41
5,194,193,1.4,8775,63.81
5,190,192,1.4,8967,65.21
5,186,176,1.28,9143,66.48
5,182,176,1.28,9319,67.76
5,178,169,1.23,9488,68.99
5,174,160,1.16,9648,70.16
5,170,160,1.16,9808,71.32
5,166,178,1.29,9986,72.61
5,162,177,1.29,10163,73.9
5,158,162,1.18,10325,75.08
5,154,186,1.35,10511,76.43
5,150,179,1.3,10690,77.73
5,146,174,1.27,10864,79
5,142,171,1.24,11035,80.24
5,138,170,1.24,11205,81.48
5,134,152,1.11,11357,82.58
5,130,155,1.13,11512,83.71
5,126,137,1,11649,84.71
5,122,137,1,11786,85.7
5,118,127,0.92,11913,86.63
5,114,144,1.05,12057,87.67
5,110,124,0.9,12181,88.58
5,106,128,0.93,12309,89.51
5,102,94,0.68,12403,90.19
5,98,101,0.73,12504,90.92
5,94,98,0.71,12602,91.64
5,90,82,0.6,12684,92.23
5,86,72,0.52,12756,92.76
5,82,78,0.57,12834,93.32
5,78,61,0.44,12895,93.77
5,74,54,0.39,12949,94.16
5,70,37,0.27,12986,94.43
5,66,35,0.25,13021,94.68
5,62,30,0.22,13051,94.9
5,58,20,0.15,13071,95.05
5,54,11,0.08,13082,95.13
5,50,6,0.04,13088,95.17
5,46,6,0.04,13094,95.22
5,42,7,0.05,13101,95.27
5,38,6,0.04,13107,95.31
5,34,7,0.05,13114,95.36
5,30,6,0.04,13120,95.4
5,26,7,0.05,13127,95.46
5,22,9,0.07,13136,95.52
5,18,7,0.05,13143,95.57
5,14,3,0.02,13146,95.59
5,10,4,0.03,13150,95.62
5,6,0,0,13150,95.62
5,2,602,4.38,13752,100
6,298.5,0,0,0,0
6,295.5,0,0,0,0
6,292.5,0,0,0,0
6,289.5,0,0,0,0
6,286.5,0,0,0,0
6,283.5,0,0,0,0
6,280.5,2,0.01,2,0.01
6,277.5,2,0.01,4,0.02
6,274.5,4,0.02,8,0.04
6,271.5,11,0.05,19,0.08
6,268.5,21,0.09,40,0.18
6,265.5,24,0.11,64,0.28
6,262.5,47,0.21,111,0.49
6,259.5,61,0.27,172,0.76
6,256.5,72,0.32,244,1.08
6,253.5,103,0.46,347,1.54
6,250.5,128,0.57,475,2.11
6,247.5,161,0.72,636,2.83
6,244.5,204,0.91,840,3.73
6,241.5,225,1,1065,4.73
